Date,Close,Sentiment
2015-01-02 00:00:00+00:00,24.37,-38.0
2015-01-05 00:00:00+00:00,23.69,-67.0
2015-01-06 00:00:00+00:00,23.69,-17.0
2015-01-07 00:00:00+00:00,24.02,-2.0
2015-01-08 00:00:00+00:00,24.94,115.0
2015-01-09 00:00:00+00:00,24.97,36.0
2015-01-12 00:00:00+00:00,24.36,-10.0
2015-01-13 00:00:00+00:00,24.57,66.0
2015-01-14 00:00:00+00:00,24.48,-5.0
2015-01-15 00:00:00+00:00,23.81,-93.0
2015-01-16 00:00:00+00:00,23.63,-136.0
2015-01-20 00:00:00+00:00,24.24,46.0
2015-01-21 00:00:00+00:00,24.42,52.0
2015-01-22 00:00:00+00:00,25.06,-152.0
2015-01-23 00:00:00+00:00,25.19,-20.0
2015-01-26 00:00:00+00:00,25.21,58.0
2015-01-27 00:00:00+00:00,24.33,581.0
2015-01-28 00:00:00+00:00,25.71,539.0
2015-01-29 00:00:00+00:00,26.51,97.0
2015-01-30 00:00:00+00:00,26.12,92.0
2015-02-02 00:00:00+00:00,26.45,24.0
2015-02-03 00:00:00+00:00,26.45,-31.0
2015-02-04 00:00:00+00:00,26.65,14.0
2015-02-05 00:00:00+00:00,26.84,-26.0
2015-02-06 00:00:00+00:00,26.62,-16.0
2015-02-09 00:00:00+00:00,26.8,28.0
2015-02-10 00:00:00+00:00,27.31,272.0
2015-02-11 00:00:00+00:00,27.95,220.0
2015-02-12 00:00:00+00:00,28.3,105.0
2015-02-13 00:00:00+00:00,28.44,67.0
2015-02-17 00:00:00+00:00,28.61,15.0
2015-02-18 00:00:00+00:00,28.81,26.0
2015-02-19 00:00:00+00:00,28.75,12.0
2015-02-20 00:00:00+00:00,28.98,32.0
2015-02-23 00:00:00+00:00,29.77,184.0
2015-02-24 00:00:00+00:00,29.58,37.0
2015-02-25 00:00:00+00:00,28.83,-111.0
2015-02-26 00:00:00+00:00,29.19,10.0
2015-02-27 00:00:00+00:00,28.75,-21.0
2015-03-02 00:00:00+00:00,28.89,15.0
2015-03-03 00:00:00+00:00,28.95,15.0
2015-03-04 00:00:00+00:00,28.77,-27.0
2015-03-05 00:00:00+00:00,28.29,-85.0
2015-03-06 00:00:00+00:00,28.34,7.0
2015-03-09 00:00:00+00:00,28.46,-30.0
2015-03-10 00:00:00+00:00,27.87,-64.0
2015-03-11 00:00:00+00:00,27.36,-100.0
2015-03-12 00:00:00+00:00,27.85,20.0
2015-03-13 00:00:00+00:00,27.66,-2.0
2015-03-16 00:00:00+00:00,27.97,-13.0
2015-03-17 00:00:00+00:00,28.43,45.0
2015-03-18 00:00:00+00:00,28.75,48.0
2015-03-19 00:00:00+00:00,28.54,-2.0
2015-03-20 00:00:00+00:00,28.18,-98.0
2015-03-23 00:00:00+00:00,28.47,-2.0
2015-03-24 00:00:00+00:00,28.36,8.0
2015-03-26 00:00:00+00:00,27.81,-20.0
2015-03-27 00:00:00+00:00,27.59,-20.0
2015-03-30 00:00:00+00:00,28.28,50.0
2015-03-31 00:00:00+00:00,27.85,13.0
